       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
   199   1370.000       94.819       367.293      -349.444        0.638        0.026        0.021        1.805     -493.552
   200   1370.000       27.744       284.679      -232.660        0.628        0.087        0.089        0.855     -493.552
   201   1370.000       16.740       127.009      -216.787        0.627        0.138        0.153        0.525     -493.552
   202   1371.000      112.030       367.244      -349.681        0.613        0.021        0.017        2.069     -493.930
   203   1371.000       89.149        44.238       -99.743        0.604        0.029        0.027        2.039     -493.930
   204   1371.000       22.849       285.478      -233.782        0.605        0.102        0.104        1.034     -493.930
   205   1371.000       20.670       127.691      -217.802        0.610        0.104        0.108        0.801     -493.930
   206   1371.000       12.286       328.492      -227.066        0.584        0.285        0.324        0.877     -493.930
   207   1372.000      112.480       367.320      -349.866        0.498        0.017        0.014        2.000     -494.308
   208   1372.000       79.040        44.598      -100.166        0.491        0.026        0.024        1.417     -494.308
   209   1372.000       18.037       286.361      -234.854        0.497        0.095        0.099        0.543     -494.308
   210   1372.000       15.980       128.617      -218.783        0.493        0.117        0.115        0.608     -494.308
   211   1372.000       10.662        83.952      -223.960        0.494        0.173        0.183        0.620     -494.308
   212   1373.000       90.944       367.110      -350.071        0.434        0.019        0.015        1.782     -494.685
   213   1373.000       63.347        44.714      -100.399        0.430        0.028        0.026        1.067     -494.685
   214   1373.000       16.144       128.679      -219.079        0.436        0.092        0.092        0.578     -494.685
   215   1373.000       14.118       286.095      -234.897        0.433        0.109        0.110        0.503     -494.685
   216   1374.000       59.509       366.725      -350.167        0.399        0.026        0.022        1.491     -495.063
   217   1374.000       47.834        44.539      -100.432        0.396        0.034        0.032        0.823     -495.063
   218   1374.000       12.685       128.317      -219.948        0.400        0.109        0.111        0.346     -495.063
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    5
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   219   1374.000       11.149       285.794      -235.206        0.400        0.122        0.128        0.498     -495.063
   220   1375.000       36.740        44.262      -100.443        0.378        0.042        0.039        0.661     -495.441
   221   1375.000       35.196       366.072      -350.474        0.379        0.042        0.036        1.087     -495.441
   222   1376.000       24.187        44.101      -100.678        0.357        0.062        0.058        0.867     -495.818
   223   1376.000       16.957       365.142      -351.005        0.357        0.080        0.075        0.795     -495.818
   224   1377.000       15.401        44.516      -101.533        0.327        0.098        0.092        1.036     -496.196
   225   1378.000       13.862        55.263      -114.331        0.360        0.106        0.111        1.599     -496.574
   226   1379.000       20.431        56.800      -116.344        0.407        0.084        0.082        1.064     -496.951
   227   1380.000       29.106        58.105      -118.046        0.471        0.071        0.066        1.051     -497.329
   228   1380.000       11.680       291.577      -246.605        0.468        0.165        0.175        0.491     -497.329
   229   1381.000       50.808        58.886      -119.291        0.392        0.029        0.027        1.874     -497.707
   230   1381.000       14.047       291.187      -247.047        0.384        0.108        0.119        0.477     -497.707
   231   1382.000       85.461        59.194      -120.005        0.345        0.014        0.013        2.460     -498.084
   232   1382.000       14.492       291.205      -247.551        0.332        0.098        0.106        0.510     -498.084
   233   1383.000      141.956        59.149      -120.330        0.288        0.007        0.006        2.431     -498.462
   234   1383.000       16.643       290.885      -247.483        0.278        0.063        0.069        0.518     -498.462
   235   1384.000      208.627        59.078      -120.510        0.421        0.006        0.006        2.147     -498.840
   236   1384.000       12.800       292.349      -248.723        0.399        0.139        0.136        0.736     -498.840
   237   1385.000      272.786        59.049      -120.639        0.527        0.006        0.006        2.080     -499.217
   238   1385.000       14.634       292.924      -249.724        0.505        0.125        0.144        0.810     -499.217
   239   1386.000      321.618        59.009      -120.746        0.498        0.005        0.005        2.831     -499.595
   240   1386.000       12.225       294.580      -251.352        0.483        0.132        0.145        0.711     -499.595
   241   1387.000      349.304        59.035      -120.899        0.553        0.005        0.005        1.592     -499.973
   242   1387.000       11.974        52.280      -115.304        0.553        0.103        0.109        1.360     -499.973
   243   1387.000       11.397       215.466      -136.240        0.553        0.144        0.149        0.549     -499.973
   244   1387.000        9.918       252.161      -125.013        0.549        0.174        0.171        0.451     -499.973
   245   1387.000        9.651       246.979      -118.792        0.545        0.198        0.178        0.420     -499.973
   246   1388.000      361.353        59.026      -121.084        0.648        0.006        0.005        1.839     -500.350
   247   1388.000       13.608       291.451      -248.291        0.617        0.198        0.171        1.152     -500.350
   248   1388.000       12.155       251.302      -123.645        0.618        0.209        0.222        1.047     -500.350
   249   1388.000       12.080       215.452      -136.048        0.645        0.162        0.169        0.548     -500.350
   250   1388.000       11.641        52.324      -115.493        0.648        0.127        0.138        1.509     -500.350
   251   1389.000      351.765        59.077      -121.332        0.598        0.005        0.005        3.594     -500.728
   252   1389.000       13.133       250.410      -123.336        0.570        0.182        0.195        0.892     -500.728
   253   1389.000       12.107       296.798      -252.299        0.587        0.159        0.161        1.171     -500.728
   254   1389.000       11.559       281.849      -243.068        0.575        0.245        0.183        1.211     -500.728
   255   1389.000       10.145       215.345      -136.995        0.587        0.184        0.204        0.570     -500.728
   256   1389.000        9.604        10.756      -127.039        0.582        0.263        0.264        0.861     -500.728
   257   1390.000      328.306        59.165      -121.623        0.616        0.006        0.006        3.701     -501.106
   258   1390.000       16.054       296.890      -252.173        0.604        0.133        0.120        1.153     -501.106
   259   1390.000       14.048       279.588      -242.222        0.607        0.173        0.141        0.885     -501.106
   260   1390.000       12.565       287.143      -246.737        0.602        0.130        0.198        0.980     -501.106
   261   1390.000       11.993       215.118      -136.452        0.608        0.157        0.167        0.638     -501.106
   262   1390.000       10.397       250.128      -123.411        0.582        0.266        0.290        0.756     -501.106
   263   1390.000        6.256       243.362      -117.171        0.616        0.213        0.236        0.756     -501.106
   264   1391.000      289.778        59.202      -121.893        0.639        0.007        0.007        4.218     -501.483
   265   1391.000       19.629       295.443      -251.770        0.612        0.143        0.106        1.201     -501.483
   266   1391.000       17.444       280.077      -242.990        0.621        0.160        0.126        1.171     -501.483
   267   1391.000       17.368       250.987      -124.555        0.630        0.120        0.125        1.025     -501.483
   268   1392.000      236.442        59.246      -122.137        0.565        0.008        0.007        4.212     -501.861
   269   1392.000       22.992       278.855      -242.649        0.563        0.090        0.075        1.206     -501.861
